Voice Code,audio,Voice Details,voice id,voice name,internal url
SBI-Male-10,"=HYPERLINK(""https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/audio/SBI-Male-10.wav"",""▶ play"")",Sarvam-Bulbulv3:Manan,manan,Manan,https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/sarvam/manan.wav
SBI-Male-11,"=HYPERLINK(""https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/audio/SBI-Male-11.wav"",""▶ play"")",Sarvam-Bulbulv3:Mani,mani,Mani,https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/sarvam/mani.wav
SBI-Male-12,"=HYPERLINK(""https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/audio/SBI-Male-12.wav"",""▶ play"")",Sarvam-Bulbulv3:Mohit,mohit,Mohit,https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/sarvam/mohit.wav
SBI-Male-13,"=HYPERLINK(""https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/audio/SBI-Male-13.wav"",""▶ play"")",Sarvam-Bulbulv3:Rahul,rahul,Rahul,https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/sarvam/rahul.wav
SBI-Male-14,"=HYPERLINK(""https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/audio/SBI-Male-14.wav"",""▶ play"")",Sarvam-Bulbulv3:Ratan,ratan,Ratan,https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/sarvam/ratan.wav
SBI-Male-15,"=HYPERLINK(""https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/audio/SBI-Male-15.wav"",""▶ play"")",Sarvam-Bulbulv3:Rohan,rohan,Rohan,https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/sarvam/rohan.wav
SBI-Male-16,"=HYPERLINK(""https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/audio/SBI-Male-16.wav"",""▶ play"")",Sarvam-Bulbulv3:Shubh,shubh,Shubh,https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/sarvam/shubh.wav
SBI-Male-17,"=HYPERLINK(""https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/audio/SBI-Male-17.wav"",""▶ play"")",Sarvam-Bulbulv3:Sumit,sumit,Sumit,https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/sarvam/sumit.wav
SBI-Male-18,"=HYPERLINK(""https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/audio/SBI-Male-18.wav"",""▶ play"")",Sarvam-Bulbulv3:Sunny,sunny,Sunny,https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/sarvam/sunny.wav
SBI-Male-19,"=HYPERLINK(""https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/audio/SBI-Male-19.wav"",""▶ play"")",Sarvam-Bulbulv3:Tarun,tarun,Tarun,https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/sarvam/tarun.wav
SBI-Male-20,"=HYPERLINK(""https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/audio/SBI-Male-20.wav"",""▶ play"")",Sarvam-Bulbulv3:Varun,varun,Varun,https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/sarvam/varun.wav
SBI-Male-21,"=HYPERLINK(""https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/audio/SBI-Male-21.wav"",""▶ play"")",Sarvam-Bulbulv3:Vijay,vijay,Vijay,https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/sarvam/vijay.wav
SBI-Male-22,"=HYPERLINK(""https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/audio/SBI-Male-22.wav"",""▶ play"")",Azure-Neural:Aarav,hi-IN-AaravNeural,Aarav,https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/azure/hi-IN-AaravNeural.wav
SBI-Male-23,"=HYPERLINK(""https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/audio/SBI-Male-23.wav"",""▶ play"")",Azure-Neural:Arjun,hi-IN-ArjunNeural,Arjun,https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/azure/hi-IN-ArjunNeural.wav
SBI-Male-24,"=HYPERLINK(""https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/audio/SBI-Male-24.wav"",""▶ play"")",Azure-Neural:Kunal,hi-IN-KunalNeural,Kunal,https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/azure/hi-IN-KunalNeural.wav
SBI-Male-25,"=HYPERLINK(""https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/audio/SBI-Male-25.wav"",""▶ play"")",Azure-Neural:Madhur,hi-IN-MadhurNeural,Madhur,https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/azure/hi-IN-MadhurNeural.wav
SBI-Male-26,"=HYPERLINK(""https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/audio/SBI-Male-26.wav"",""▶ play"")",Azure-Neural:Rehaan,hi-IN-RehaanNeural,Rehaan,https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/azure/hi-IN-RehaanNeural.wav
SBI-Male-27,"=HYPERLINK(""https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/audio/SBI-Male-27.wav"",""▶ play"")",xAI-Grok:Karan,karan,Karan,https://raw.githubusercontent.com/arohit1/xai-tts-eval-audio/main/skit_sbi_hindi/xai/karan.wav
